"Trait","Marker","Chr","Pos","glm_p","glm_perm_p","farm_RMIP"
"NDRE","S10_21966301",10,21966301,0.0003022,1,0.07
"NDRE (flowering covariate)","S1_5101469",1,5101469,0.0061,1,0.09
"NDRE (flowering covariate)","S2_61431704",2,61431704,8.7385e-07,0.634,0.05
"NDRE (flowering covariate)","S5_4781295",5,4781295,1.3313e-06,0.747,0.15
"NDRE (flowering covariate)","S6_799609",6,799609,1.275e-05,0.989,0.11
"NDRE (flowering covariate)","S6_58686833",6,58686833,2.5645e-05,1,0.06
"NDRE (flowering covariate)","S6_60922873",6,60922873,9.2584e-07,0.657,0.13
"NDVI","S1_7442679",1,7442679,1.495e-06,0.938,0.11
"NDVI","S1_53884564",1,53884564,1.3262e-05,1,0.07
"NDVI","S2_887719",2,887719,0.01886,1,0.05
"NDVI","S2_61431704",2,61431704,1.7544e-07,0.65,0.19
"NDVI","S3_19558428",3,19558428,1.1298e-06,0.91,0.29
"NDVI","S5_3282948",5,3282948,1.2324e-05,1,0.06
"NDVI","S5_63115845",5,63115845,1.3373e-05,1,0.11
"NDVI","S6_3383155",6,3383155,4.6421e-07,0.805,0.23
"SAVI","S9_3054933",9,3054933,2.2064e-06,0.969,0.08
"SAVI (flowering covariate)","S9_3054933",9,3054933,3.6411e-05,1,0.05
