Name	Source	function
Sobic.001G010800	defLine	similar to OSIGBa0157N01.7 protein
Sobic.001G010900	defLine	similar to Monothiol glutaredoxin-S7, chloroplast precursor
Sobic.001G011000	defLine	similar to Translational elongation factor Tu
Sobic.001G011200	defLine	similar to NAC domain containing protein, expressed
Sobic.001G011300	defLine	similar to Putative uncharacterized protein
Sobic.001G011400	defLine	similar to Putative phosphatidylinositol/phosphatidylcholine transfer protein
Sobic.001G011600	defLine	similar to Putative uncharacterized protein
Sobic.001G011700	defLine	similar to Aspartokinase
Sobic.001G011800	defLine	similar to Os03g0850300 protein
Sobic.001G012000	defLine	similar to Cytochrome P450 71E1
Sobic.001G012100	defLine	similar to Putative uncharacterized protein
Sobic.001G012200	defLine	similar to Cytochrome P450 71E1
Sobic.001G012300	defLine	similar to Cytochrome P450 79A1
Sobic.001G012400	defLine	similar to UDP-glucose glucosyltransferase
Sobic.001G012500	defLine	similar to Glutathione S-transferase 1
Sobic.001G012600	defLine	similar to Os03g0571900 protein
Sobic.001G012700	defLine	similar to Putative regulatory protein
Sobic.001G012800	defLine	similar to Regulatory protein, putative, expressed
Sobic.001G012900	defLine	similar to Putative uncharacterized protein
Sobic.001G013000	defLine	similar to Putative nitrate-induced protein
Sobic.001G013100	defLine	similar to Putative uncharacterized protein
Sobic.001G013200	defLine	similar to Uncharacterized protein At4g14147.1
Sobic.001G013300	defLine	similar to SWIM zinc finger family protein-like
Sobic.001G013500	defLine	similar to Putative RNA polymerase I, II and III 16.5 kDa subunit
Sobic.001G013600	defLine	Predicted protein
Sobic.001G013800	defLine	similar to Ser/Thr protein phosphatase family protein, expressed
Sobic.001G013900	defLine	similar to Ser/Thr protein phosphatase family protein, expressed
Sobic.001G014000	defLine	similar to Putative uncharacterized protein OSJNBb0096M04.140
Sobic.001G014100	defLine	similar to Putative uncharacterized protein OSJNBb0043P23.6
Sobic.001G014200	defLine	similar to Cyclin-dependent kinase F-3
Sobic.001G014500	defLine	similar to Putative RNA polymerase I, II and III 16.5 kDa subunit
Sobic.001G014700	defLine	similar to Putative uncharacterized protein
Sobic.001G014800	defLine	similar to Putative uncharacterized protein
Sobic.001G015000	defLine	Predicted protein
Sobic.001G015100	defLine	similar to Pirin, putative, expressed
Sobic.001G015200	defLine	similar to Putative ribosomal S1 protein
Sobic.001G015300	defLine	weakly similar to Putative uncharacterized protein
Sobic.001G015400	defLine	similar to Elongation factor G, mitochondrial precursor
Sobic.001G015500	defLine	similar to ARTEMIS protein, chloroplast, putative, expressed
Sobic.001G015600	defLine	weakly similar to Expressed protein
Sobic.001G015700	defLine	similar to Putative uncharacterized protein
Sobic.001G015800	defLine	similar to Protein phosphatase 2A regulatory subunit B'
Sobic.001G016000	defLine	similar to Glycohydrolase family protein, expressed
Sobic.001G016100	defLine	similar to Putative uncharacterized protein
Sobic.001G016200	defLine	similar to Nuf2 family protein, expressed
Sobic.001G016400	defLine	similar to Putative uncharacterized protein
Sobic.001G016500	defLine	similar to Putative uncharacterized protein
Sobic.001G016600	defLine	similar to Putative far-red impaired response protein
Sobic.001G016700	defLine	similar to Probable ion channel DMI1-like, chloroplast precursor
Sobic.001G016900	defLine	similar to RNA-binding protein Luc7-like 2, putative, expressed
Sobic.001G017000	defLine	similar to Putative plastid ribosomal protein S6
Sobic.001G017100	defLine	similar to Salt tolerance protein
Sobic.001G017200	defLine	similar to Translocation protein-related-like
Sobic.001G017300	defLine	similar to Expressed protein
Sobic.001G017400	defLine	similar to Ras-related protein Rab11C
Sobic.001G017500	defLine	similar to Putative uncharacterized protein
Sobic.001G017600	defLine	similar to ProFAR isomerase associated, putative
Sobic.001G0176000	defLine	similar to ProFAR isomerase associated, putative
Sobic.001G0176001	defLine	similar to ProFAR isomerase associated, putative
Sobic.001G017600	defLine	similar to ProFAR isomerase associated, putative
Sobic.001G017700	defLine	similar to Diphthamide biosynthesis protein 2
Sobic.001G017900	defLine	similar to Os10g0360900 protein
Sobic.001G018000	defLine	similar to FAD dependent oxidoreductase family protein, expressed
Sobic.001G018100	defLine	similar to Putative salt-inducible protein kinase
Sobic.001G018200	defLine	similar to Prohibitin
Sobic.001G018300	defLine	similar to Cytochrome P450 71E1
Sobic.001G018350	defLine	Predicted protein
Sobic.001G018400	defLine	weakly similar to Putative uncharacterized protein
Sobic.001G018500	defLine	similar to Putative uncharacterized protein OSJNBa0075M12.11
Sobic.001G018600	defLine	similar to Cytochrome P450 71E1
Sobic.001G018700	defLine	Predicted protein
Sobic.001G018800	defLine	similar to 60S ribosomal protein L144
Sobic.001G018900	defLine	similar to 40S ribosomal protein S4
Sobic.001G019100	defLine	Predicted protein
Sobic.001G019200	defLine	similar to Os04g0278000 protein
Sobic.001G019300	defLine	similar to Putative uncharacterized protein
Sobic.001G019400	defLine	similar to Putative uncharacterized protein OSJNBa0075M12.3
Sobic.001G019700	defLine	similar to Putative uncharacterized protein
Sobic.001G019800	defLine	similar to Os03g0839100 protein
Sobic.001G019900	defLine	similar to Putative uncharacterized protein OSJNBa0042I09.10
Sobic.001G020000	defLine	similar to Cleavage and polyadenylation specificity factor subunit 2
Sobic.001G020100	defLine	similar to Putative uncharacterized protein OSJNBa0042I09.11
Sobic.001G020500	defLine	similar to Putative uncharacterized protein
Sobic.001G020600	defLine	similar to Streptomyces cyclase/dehydrase family protein, expressed
Sobic.001G020700	defLine	similar to Myosin-like protein
Sobic.001G021000	defLine	similar to Putative nicotinate phosphoribosyltransferase
Sobic.001G021500	defLine	similar to Cellulose synthase-7
Sobic.001G021700	defLine	weakly similar to Putative uncharacterized protein
Sobic.001G021800	defLine	weakly similar to Putative uncharacterized protein
Sobic.001G021900	defLine	similar to Putative IAA amidohydrolase
Sobic.001G022000	defLine	similar to Putative IAA amidohydrolase
Sobic.001G022100	defLine	similar to Expressed protein
Sobic.001G022300	defLine	similar to Putative uncharacterized protein
Sobic.001G022400	defLine	similar to Putative uncharacterized protein
Sobic.001G022500	defLine	similar to Putative lysyl-tRNA synthetase
Sobic.001G022600	defLine	similar to Putative uncharacterized protein
Sobic.001G022700	defLine	similar to Putative uncharacterized protein
Sobic.001G022800	defLine	similar to Actin-11
Sobic.001G022900	defLine	similar to Ferredoxin-3, chloroplast precursor
Sobic.001G023000	defLine	similar to Kelch motif family protein, expressed
Sobic.001G023100	defLine	similar to Acyl-CoA binding family protein, putative, expressed
Sobic.001G023200	defLine	similar to Putative uncharacterized protein
Sobic.001G023400	defLine	similar to Os03g0835100 protein
Sobic.001G023500	defLine	similar to Putative uncharacterized protein
Sobic.001G023600	defLine	similar to Os06g0620600 protein
Sobic.001G023900	defLine	similar to Putative uncharacterized protein
Sobic.001G024000	defLine	similar to Putative uncharacterized protein OSJNBb0027B08.11
Sobic.001G024100	defLine	weakly similar to DnaJ-like protein
Sobic.001G024200	defLine	similar to Lipase family protein, expressed
Sobic.001G024300	defLine	weakly similar to Putative uncharacterized protein
Sobic.001G024400	defLine	similar to Putative uncharacterized protein
Sobic.001G024500	defLine	similar to Putative uncharacterized protein
Sobic.001G024700	defLine	similar to Putative uncharacterized protein
Sobic.001G024800	defLine	similar to Putative uncharacterized protein
Sobic.001G024900	defLine	similar to Expressed protein
Sobic.001G025400	defLine	similar to Putative isomerase
Sobic.001G025500	defLine	similar to Putative calreticulin
Sobic.001G025600	defLine	similar to Putative uncharacterized protein OSJNBa0078D06.29
Sobic.001G025700	defLine	similar to Putative uncharacterized protein
Sobic.001G025900	defLine	similar to Putative uncharacterized protein OSJNBa0078D06.31
Sobic.001G026000	defLine	similar to Putative uncharacterized protein
Sobic.001G026100	defLine	similar to Os01g0329000 protein
Sobic.001G026300	defLine	similar to Os03g0833100 protein
Sobic.001G026400	defLine	similar to Chromosome chr7 scaffold_42, whole genome shotgun sequence
Sobic.001G026500	defLine	similar to Squamosa promoter-binding-like protein 6
Sobic.001G026700	defLine	similar to Expressed protein
Sobic.001G026800	defLine	similar to Glycoside hydrolase family 28 protein, putative, expressed
Sobic.001G027300	defLine	similar to Expressed protein
Sobic.001G027500	defLine	similar to Expressed protein
Sobic.001G027600	defLine	similar to 50S ribosomal protein L18, chloroplast precursor
Sobic.001G027700	defLine	similar to Putative uncharacterized protein
Sobic.001G027900	defLine	similar to Cation/hydrogen exchanger, putative
Sobic.001G028000	defLine	similar to Os03g0827900 protein
Sobic.001G028100	defLine	similar to DEAD-box ATP-dependent RNA helicase 3
Sobic.001G028400	defLine	similar to MAP kinase-activating protein C22orf5, putative, expressed
Sobic.001G028500	defLine	similar to BLYIDS4G, putative, expressed
Sobic.001G028600	defLine	Predicted protein
Sobic.001G028700	defLine	similar to Expressed protein
Sobic.001G028800	defLine	similar to Expressed protein
Sobic.001G029000	defLine	weakly similar to MTERF, putative
Sobic.001G029100	defLine	similar to Expressed protein
Sobic.001G029200	defLine	similar to Phosphoesterase family protein, putative, expressed
Sobic.001G029300	defLine	similar to Anthranilate synthase alpha 1 subunit
Sobic.001G029400	defLine	similar to RNA recognition motif family protein, expressed
Sobic.001G029800	defLine	Predicted protein
Sobic.001G029900	defLine	similar to Protein kinase domain containing protein, expressed
Sobic.001G030000	defLine	similar to Defective in exine formation protein, putative, expressed
Sobic.001G030100	defLine	similar to Expressed protein
Sobic.001G030200	defLine	similar to KOW motif family protein, expressed
Sobic.001G030300	defLine	similar to Os03g0825400 protein
Sobic.001G030400	defLine	similar to TPR-containing protein kinase, putative, expressed
Sobic.001G030500	defLine	similar to Os03g0824600 protein
Sobic.001G030600	defLine	similar to Os03g0824600 protein
Sobic.001G031000	defLine	Predicted protein
Sobic.001G031100	defLine	similar to Dolichol-phosphate mannosyltransferase, putative, expressed
Sobic.001G031200	defLine	similar to Putative uncharacterized protein
Sobic.001G031400	defLine	similar to Expressed protein
Sobic.001G031600	defLine	similar to Putative uncharacterized protein OSJNBb0013C14.20
Sobic.001G031700	defLine	similar to Putative uncharacterized protein
Sobic.001G031800	defLine	similar to Ribosomal protein L30p family-like
Sobic.001G031900	defLine	similar to Ras-related GTP-binding protein
Sobic.001G032000	defLine	similar to Putative uncharacterized protein
Sobic.001G032300	defLine	similar to Putative uncharacterized protein
Sobic.001G032400	defLine	similar to Putative uncharacterized protein
Sobic.001G0327000	defLine	similar to Putative uncharacterized protein
Sobic.001G0327001	defLine	similar to Putative uncharacterized protein
Sobic.001G0327002	defLine	similar to Putative uncharacterized protein
Sobic.001G0327003	defLine	similar to Putative uncharacterized protein
Sobic.001G0327004	defLine	similar to Putative uncharacterized protein
Sobic.001G032700	defLine	similar to Putative uncharacterized protein
Sobic.001G032900	defLine	similar to Expressed protein
Sobic.001G033000	defLine	similar to FtsJ-like methyltransferase family protein, putative, expressed
Sobic.001G033100	defLine	similar to Putative uncharacterized protein OSJNBb0081B07.22
Sobic.001G033200	defLine	similar to OSJNBa0086O06.18 protein
Sobic.001G033300	defLine	similar to Expansin-A7 precursor
Sobic.001G033400	defLine	similar to Protein kinase APK1B, chloroplast, putative, expressed
Sobic.001G033600	defLine	similar to Putative uncharacterized protein
Sobic.001G033701	defLine	Predicted protein
Sobic.001G034000	defLine	weakly similar to MTERF, putative
Sobic.001G034100	defLine	similar to Probable protein phosphatase 2C POLTERGEIST-LIKE 4
Sobic.001G034300	defLine	similar to Os03g0821200 protein
Sobic.001G034400	defLine	similar to Putative uncharacterized protein
Sobic.001G034500	defLine	similar to Putative uncharacterized protein OJ1754_E06.24
Sobic.001G034700	defLine	similar to Actin-depolymerizing factor 3
Sobic.001G034900	defLine	similar to Actin-depolymerizing factor 3
Sobic.001G035000	defLine	similar to Putative uncharacterized protein
Sobic.001G035100	defLine	similar to Putative uncharacterized protein
Sobic.001G035200	defLine	similar to ThiF family protein, expressed
Sobic.001G035300	defLine	similar to Putative uncharacterized protein
Sobic.001G035400	defLine	similar to Ras-related protein ARA-3
Sobic.001G035500	defLine	weakly similar to Os03g0819700 protein
Sobic.001G035600	defLine	similar to Chalcone--flavonone isomerase
Sobic.001G035800	defLine	similar to Putative uncharacterized protein
Sobic.001G036200	defLine	similar to Expressed protein
Sobic.001G036300	defLine	similar to Putative uncharacterized protein
Sobic.001G036700	defLine	Predicted protein
Sobic.001G036800	defLine	similar to Indeterminate spikelet 1
Sobic.001G036900	defLine	similar to 40S ribosomal protein S23-1
Sobic.001G037000	defLine	similar to Putative PHD-finger domain containing protein
Sobic.001G037400	defLine	similar to Os12g0235700 protein
Sobic.001G037700	defLine	weakly similar to OSJNBa0009P12.16 protein
Sobic.001G037800	defLine	similar to Putative uncharacterized protein
Sobic.001G037900	defLine	similar to Putative uncharacterized protein
Sobic.001G038100	defLine	similar to Putative uncharacterized protein OSJNBa0094J08.8
Sobic.001G038200	defLine	similar to Putative uncharacterized protein
Sobic.001G038300	defLine	similar to Expressed protein
Sobic.001G038400	defLine	similar to Putative uncharacterized protein
Sobic.001G038500	defLine	similar to Putative uncharacterized protein
Sobic.001G038700	defLine	similar to Os03g0817100 protein
Sobic.001G038800	defLine	weakly similar to SCAR-like protein 1
Sobic.001G038900	defLine	similar to Expressed protein
Sobic.001G039000	defLine	similar to Os03g0816700 protein
Sobic.001G039100	defLine	similar to Oxidoreductase, 2OG-Fe oxygenase family protein, putative, expressed
Sobic.001G039200	defLine	similar to Putative uncharacterized protein
Sobic.001G039300	defLine	similar to Putative uncharacterized protein
Sobic.001G039500	defLine	similar to Protein kinase domain containing protein, expressed
Sobic.001G039600	defLine	similar to Putative uncharacterized protein OSJNBa0094J08.30
Sobic.001G039700	defLine	similar to Putative uncharacterized protein
Sobic.001G039800	defLine	weakly similar to Putative uncharacterized protein
Sobic.001G039900	defLine	similar to Expressed protein
Sobic.001G040100	defLine	similar to Methylenetetrahydrofolate reductase 1
Sobic.001G040200	defLine	similar to Stress-induced transcription factor NAC1
Sobic.001G040300	defLine	similar to OSJNBa0035I04.2 protein
Sobic.001G040500	defLine	similar to Putative uncharacterized protein
Sobic.001G040800	defLine	similar to Putative uncharacterized protein
Sobic.001G041000	defLine	similar to Ribosomal protein l36 containing protein
Sobic.001G041100	defLine	similar to Putative uncharacterized protein
Sobic.001G041200	defLine	similar to Peptidyl-prolyl cis-trans isomerase
Sobic.001G041300	defLine	similar to Putative uncharacterized protein
Sobic.001G041400	defLine	similar to Putative uncharacterized protein
Sobic.001G041500	defLine	similar to Putative DNA binding protein
Sobic.001G041600	defLine	similar to Putative clathrin assembly protein
Sobic.001G041800	defLine	similar to Chloroplast Mg-chelatase subunit XANTHA-G precursor
Sobic.001G041900	defLine	similar to Putative uncharacterized protein
Sobic.001G042000	defLine	similar to Putative short chain alcohol dehydrogenase
Sobic.001G042200	defLine	similar to Expressed protein
Sobic.001G042500	defLine	similar to Expressed protein
Sobic.001G042800	defLine	similar to Putative NUDIX hydrolase
Sobic.001G042901	defLine	similar to Putative uncharacterized protein
Sobic.001G043000	defLine	similar to OSJNBa0081C01.23 protein
Sobic.001G043200	defLine	similar to Expressed protein
Sobic.001G043400	defLine	similar to Expressed protein
Sobic.001G043700	defLine	similar to Os03g0809400 protein
Sobic.001G043800	defLine	similar to Expressed protein
Sobic.001G043900	defLine	similar to Origin recognition complex subunit 2
Sobic.001G044100	defLine	similar to Putative uncharacterized protein
Sobic.001G0443000	defLine	similar to ABRE-binding factor Embp-2
Sobic.001G0443001	defLine	similar to ABRE-binding factor Embp-2
Sobic.001G044300	defLine	similar to ABRE-binding factor Embp-2
Sobic.001G044400	defLine	similar to UDP-glucoronosyl and UDP-glucosyl transferase family protein, expressed
Sobic.001G044600	defLine	similar to OSIGBa0139J17.2 protein
Sobic.001G044700	defLine	similar to Putative uncharacterized protein
Sobic.001G044800	defLine	similar to Putative raffinose synthase or seed imbibition protein
Sobic.001G045000	defLine	similar to Putative uncharacterized protein
Sobic.001G045100	defLine	similar to Putative uncharacterized protein
Sobic.001G045300	defLine	similar to Putative uncharacterized protein
Sobic.001G045400	defLine	similar to Putative uncharacterized protein
Sobic.001G045600	defLine	similar to Remorin-like protein
Sobic.001G045700	defLine	similar to Cellulose synthase-9
Sobic.001G045800	defLine	similar to Putative uncharacterized protein
Sobic.001G045900	defLine	similar to Putative uncharacterized protein
Sobic.001G046000	defLine	similar to Putative uncharacterized protein
Sobic.001G046100	defLine	similar to Chromosome chr8 scaffold_34, whole genome shotgun sequence
Sobic.001G046300	defLine	similar to Chromosome chr8 scaffold_34, whole genome shotgun sequence
Sobic.001G046400	defLine	similar to Expressed protein
Sobic.001G046900	defLine	similar to Chloroplast photosystem I reaction center subunit II-like protein
Sobic.001G047000	defLine	similar to Putative uncharacterized protein
Sobic.001G047100	defLine	similar to L1332.6 protein
Sobic.001G047200	defLine	similar to Putative uncharacterized protein OSJNBa0059E14.15
Sobic.001G047400	defLine	similar to Os09g0267600 protein
Sobic.001G047600	defLine	similar to Putative uncharacterized protein
Sobic.001G047700	defLine	similar to Putative uncharacterized protein OSJNBa0059E14.16
Sobic.001G047800	defLine	similar to Os07g0205000 protein
Sobic.001G047900	defLine	similar to Putative uncharacterized protein OSJNBa0059E14.19
Sobic.001G048000	defLine	weakly similar to Expressed protein
Sobic.001G048100	defLine	similar to Adenosine 5'-phosphosulfate reductase 8
Sobic.001G048400	defLine	similar to Putative iron-sulfur cluster-binding protein
Sobic.001G048700	defLine	similar to Putative uncharacterized protein
Sobic.001G048766	defLine	similar to Brain protein 44-like
Sobic.001G048900	defLine	similar to 39 kDa EF-Hand containing protein, putative, expressed
Sobic.001G049000	defLine	weakly similar to Os04g0208500 protein
Sobic.001G049200	defLine	similar to Acyl-activating enzyme 18, putative, expressed
Sobic.001G049300	defLine	similar to Putative phosphatase
Sobic.001G049400	defLine	similar to Serine/threonine-protein phosphatase PP2A-3 catalytic subunit
Sobic.001G049500	defLine	similar to DEAD-box ATP-dependent RNA helicase 37
Sobic.001G049600	defLine	similar to Squalene synthase
Sobic.001G049700	defLine	similar to Os03g0804900 protein
Sobic.001G050000	defLine	similar to Os03g0804900 protein
Sobic.001G050100	defLine	similar to Germin-like protein 7
Sobic.001G050300	defLine	similar to Non-specific lipid-transfer protein
Sobic.001G050400	defLine	similar to Putative uncharacterized protein
Sobic.001G050500	defLine	similar to Galactosyltransferase family protein, putative, expressed
Sobic.001G050600	defLine	similar to Putative uncharacterized protein
Sobic.001G050800	defLine	similar to Galactosyltransferase family protein, putative, expressed
Sobic.001G050900	defLine	similar to Putative oxidoreductase
Sobic.001G051100	defLine	similar to Unknow protein
Sobic.001G051200	defLine	similar to Chromosome undetermined scaffold_168, whole genome shotgun sequence
Sobic.001G051300	defLine	similar to Putative uncharacterized protein OSJNBa0087C10.10
Sobic.001G051400	defLine	similar to Unknow protein
Sobic.001G051500	defLine	similar to DEAD-box ATP-dependent RNA helicase 27
Sobic.001G051600	defLine	similar to Putative AAA-type ATPase
Sobic.001G051700	defLine	similar to Unknow protein
Sobic.001G051800	defLine	similar to F-box domain containing protein, expressed
Sobic.001G052000	defLine	Predicted protein
Sobic.001G052100	defLine	similar to H0201G08.10 protein
Sobic.001G052200	defLine	similar to Putative uncharacterized protein OSJNBa0087C10.18
Sobic.001G052300	defLine	similar to Expressed protein
Sobic.001G052400	defLine	similar to RNA recognition motif family protein, expressed
Sobic.001G052500	defLine	similar to Putative uncharacterized protein
Sobic.001G052700	defLine	similar to Chromosome chr18 scaffold_1, whole genome shotgun sequence
Sobic.001G052900	defLine	similar to Putative thioredoxin
Sobic.001G053000	defLine	similar to Putative uncharacterized protein OSJNBa0052F07.9
Sobic.001G053200	defLine	Predicted protein
Sobic.001G053500	defLine	Predicted protein
Sobic.001G053800	defLine	similar to F21M11.16 protein
Sobic.001G053900	defLine	similar to Putative nodule-specific protein
Sobic.001G054000	defLine	similar to Transducin / WD-40 repeat protein-like
Sobic.001G054100	defLine	similar to Putative uncharacterized protein
Sobic.001G054200	defLine	similar to Putative uncharacterized protein
Sobic.001G054300	defLine	weakly similar to Putative uncharacterized protein
Sobic.001G054600	defLine	similar to Expressed protein
Sobic.001G054700	defLine	similar to Targeting protein for Xklp2 containing protein, expressed
Sobic.001G054900	defLine	similar to 40S ribosomal protein S15
Sobic.001G055300	defLine	weakly similar to Putative uncharacterized protein
Sobic.001G055600	defLine	similar to Putative prenylated Rab receptor
Sobic.001G055900	defLine	similar to Zinc finger, C3HC4 type family protein, expressed
Sobic.001G056100	defLine	similar to Auxin-responsive protein IAA14
Sobic.001G056200	defLine	similar to Putative uncharacterized protein OSJNBa0094F01.10
Sobic.001G056300	defLine	similar to Putative uncharacterized protein OSJNBa0094F01.11
Sobic.001G056400	defLine	similar to Indole-3-glycerol phosphate lyase
Sobic.001G056500	defLine	similar to Indole-3-glycerol phosphate lyase
Sobic.001G056601	defLine	similar to Putative tryptophan synthase alpha
Sobic.001G056700	defLine	similar to Opaque2 heterodimerizing protein 2
Sobic.001G056800	defLine	similar to Guanylate-binding family protein, putative, expressed
Sobic.001G057100	defLine	similar to Uncharacterized plant-specific domain TIGR01615 family protein, expressed
Sobic.001G057200	defLine	similar to Pyruvate kinase
Sobic.001G057300	defLine	similar to Putative uncharacterized protein
Sobic.001G057400	defLine	similar to Expressed protein
Sobic.001G057500	defLine	similar to Putative hydroxyproline-rich glycoprotein
Sobic.001G057600	defLine	similar to Expressed protein
Sobic.001G057700	defLine	similar to Heat shock factor RHSF5
Sobic.001G057800	defLine	similar to Expressed protein
Sobic.001G057900	defLine	similar to Expressed protein
Sobic.001G058100	defLine	similar to Expressed protein
Sobic.001G058200	defLine	similar to Expressed protein
Sobic.001G058300	defLine	similar to Putative uncharacterized protein
Sobic.001G058400	defLine	similar to Putative uncharacterized protein
Sobic.001G058500	defLine	similar to Expressed protein
Sobic.001G058600	defLine	similar to Os03g0795000 protein
Sobic.001G058700	defLine	similar to 5'-3' exoribonuclease, putative, expressed
Sobic.001G058800	defLine	similar to Cysteine endopeptidase
Sobic.001G058900	defLine	similar to Os07g0173500 protein
Sobic.001G059100	defLine	similar to Glutamate dehydrogenase
Sobic.001G059200	defLine	similar to Plant disease resistance polyprotein-like
Sobic.001G059300	defLine	similar to Putative uncharacterized protein
Sobic.001G059500	defLine	similar to Non-specific lipid-transfer protein
Sobic.001G059600	defLine	similar to Expressed protein
Sobic.001G059800	defLine	similar to Globulin-2 precursor
Sobic.001G059900	defLine	similar to Putative inositol polyphosphate 5-phosphatase
Sobic.001G060100	defLine	similar to Putative uncharacterized protein
Sobic.001G060300	defLine	similar to Hydroxyproline-rich glycoprotein-like
Sobic.001G060500	defLine	similar to High-glucose-regulated protein 8-like
Sobic.001G060600	defLine	weakly similar to Cyclin dependent protein kinase
Sobic.001G060900	defLine	weakly similar to Putative uncharacterized protein
Sobic.001G061000	defLine	similar to Putative uncharacterized protein
Sobic.001G061200	defLine	similar to Putative uncharacterized protein
Sobic.001G061400	defLine	similar to Leucine-rich repeat transmembrane protein kinase, putative, expressed
Sobic.001G061500	defLine	similar to Ubiquitin-conjugating enzyme E2-17 kDa 1
Sobic.001G061600	defLine	similar to Os03g0792400 protein
Sobic.001G061700	defLine	similar to BTB/POZ domain containing protein, expressed
Sobic.001G061800	defLine	similar to Replication factor C 38 kDa subunit
Sobic.001G061900	defLine	similar to Putative uncharacterized protein
Sobic.001G062132	defLine	weakly similar to Putative uncharacterized protein
Sobic.001G062300	defLine	similar to Aldehyde oxidase-2
Sobic.001G062500	defLine	similar to Aldehyde oxidase-2
Sobic.001G062600	defLine	similar to Aldehyde oxidase
